key,Portuguese,English,Context / Notes
cap1_conversa_ana/say_96,"Eles têm uma pivô tão alta, e vivem dizendo que alguém da minha altura não serviria.","They've got a stupid tall girl playing Center, and everyone keeps saying that someone my height just can't play Center.",
cap1_conversa_ana/say_97,Mas não importa! Mostra pra eles que estão errados.,Height is just a number! You can prove them wrong.,
cap1_conversa_ana/say_98,Seja a melhor armadora que a nossa seleção já teve! E aí eles devem te deixar escolher jogar em outra posição.,Become the best Point Guard they've ever had! And eventually they should let you play whatever position you want.,
cap1_conversa_ana/say_99,"Você acha, Daniel?","You think so, Daniel?",
cap1_conversa_ana/say_100,"Claro! É assim que você me ensinou a resolver as coisas, nunca desistindo e dando o seu melhor!",Of course! That's how you taught me to take care of things: never give up and always try your best!,
cap1_conversa_ana/say_101,A garota cerra o punho e abre um grande sorriso. Seus olhos demonstram grande determinação.,The girl clenches her fist and grins. Her eyes are shining with determination.,
cap1_conversa_ana/say_102,Você tá certo! Eles só não perceberam ainda o que tão perdendo. Eu vou treinar muito mais e vou mostrar pra todos que sou a melhor!,You're right! They don't know what they're missing out on. I'm going to train tons more and I'll show everyone that I'm the best!,
cap1_conversa_ana/say_103,Essa é a Ana que eu conheço!,Attagirl! That's the Anna I know!,
cap1_conversa_ana/say_104,"Sabe, Daniel, eu vi uma moça passeando com seu cãozinho no caminho para o colégio hoje.","You know, Daniel, I saw a girl walking her dog when I was on my way to school today.",
cap1_conversa_ana/say_105,Era um cãozinho fofo?,Was it a cute dog?,
cap1_conversa_ana/say_106,Muito fofo. Me lembrou muito o Panqueca...,Really cute. It reminded me of Pancake...,
cap1_conversa_ana/say_107,"A garota abaixa o rosto, triste.",The girl lowers her head sadly.,
cap1_conversa_ana/say_108,"Você sente muita falta dele, não é?","You really miss him, don't you?",
cap1_conversa_ana/say_109,Demais. Você sabe que dia é hoje?,I miss him a lot. You know what today is?,
cap1_conversa_ana/say_110,Claro. Hoje faz quatro anos desde que ele se foi...,Of course. He passed away four years ago to this day...,
cap1_conversa_ana/say_111,Ana mexe a cabeça em confirmação.,Anna nods.,
cap1_conversa_ana/say_112,Eu sinto muito... Queria poder fazer algo a mais por você.,I'm so sorry... I wish there was more I could do for you.,
cap1_conversa_ana/say_113,Você sempre faz.,Just being here is enough.,
cap1_conversa_ana/say_114,"Quando ele se foi, eu costumava chorar muito de noite e não conseguia dormir.","When he passed away, I used to cry so much at night that I couldn't sleep.",
cap1_conversa_ana/say_115,"Foi aí que você me deu o ursinho de pelúcia, e eu passei a dormir sempre abraçada com ele.","That's when you gave me the teddy bear, and I've been cuddling it to sleep every night since.",
cap1_conversa_ana/say_116,"É, você adorava aquele ursinho.","Yeah, you loved that teddy bear.",
cap1_conversa_ana/say_117,Ainda gosto. Obrigada por estar aqui pra mim sempre que eu preciso.,"I still do. Again, thank you for being there for me when I need you the most.",
cap1_conversa_ana/say_118,E vou sempre estar.,I always will be.,
cap1_conversa_ana/say_119,A garota esboça um leve sorriso.,A faint smile appears on the girl's lips.,
cap1_conversa_ana/say_120,Vamos levar flores ao túmulo do Panqueca? Eu posso ir contigo mais tarde.,Should we take flowers to Pancake's gravestone? I can come with you afterward.,
cap1_conversa_ana/say_121,Vamos. Tenho certeza que ele vai gostar.,"Yeah, let's do that. I'm sure he'd like that.",
cap1_conversa_ana/say_122,Eles conversam sobre assuntos os livros que Daniel está lendo e o último jogo de basquete que Ana assistiu.,They make small talk about the books Daniel is reading and the last basketball game that Anna watched.,
cap1_conversa_ana/say_123,Eles conversam e se divertem por um bom tempo e mal percebem o tempo passar.,"They chat and enjoy themselves for a long while, barely noticing the time pass.",
cap1_conversa_ana/say_124,Daniel e Ana voltam para a sala de aula para continuar as próximas lições.,Daniel and Anna return to the classroom and prepare for the next class.,
cap1_conversa_ana/say_125,Daniel e Ana voltam para suas casas.,Daniel and Anna go home.,
cap1_conversa_ana/say_126,Escolha qual item dar para Ana:,Choose an item to give Anna:,
cap1_conversa_ana/say_127,"Ei Ana, eu trouxe uma coisinha para te dar.","Hey, Anna, I brought you something.",
cap1_conversa_ana/say_128,"Pera, o que você tá fazendo com isso? Como você conseguiu isso, Daniel?","Wait, what are you doing with this? How did you get a hold of this, Daniel?",
cap1_conversa_ana/say_129,E-eu... não sei?!,I-I... don't know?!,
cap1_conversa_ana/say_130,Me devolve isso agora!,Give it back this instant!,
cap1_conversa_ana/say_131,"Ei, muito obrigada! Como você sabia que eu gostava disso?","Wow, thank you so much! How did you know I wanted this?",
cap1_conversa_ana/say_132,Que bom que você gostou!,I'm glad you like it!,
cap1_conversa_ana/say_133,"Ei, você vem comigo ao parque? Estou a fim de respirar um ar fresco.","Hey, do want to come with me to the park? I'd love some fresh air.",
cap1_conversa_ana/say_134,"Claro, vamos lá.","Sure, let's go.",
cap1_conversa_ana/set_var_0,de destino,from destination,
cap1_conversa_ana/say_135,Sabia que estreou o filme do James Hopper? Eu tô tão animada pra ver!,Did you know that the James Hopper movie is finally out? I really want to see it!,
cap1_conversa_ana/say_136,Sério? Que legal! Quer ir comigo assistir?,Really? Awesome! Do you want to go see it with me?,
cap1_conversa_ana/say_137,Quero! Vamos no cinema do shopping? É o cinema que eu mais gosto aqui na cidade.,I'd love to! Can we go to the movies at the mall—it's my favorite movie theater in town.,
cap1_conversa_ana/say_138,Ótimo! Vou comprar um baldão de pipoca pra gente.,Sure! I'll grab an extra big popcorn for us.,
cap1_conversa_ana/set_var_1,do cinema,from the movies,
cap1_conversa_ana/say_139,"Ei Ana, está com vontade de ir ao parque?","Hey, Anna, do you want to go to the park?",
cap1_conversa_ana/say_140,"Oba, vamos sim! Tem um lugar ótimo pra gente jogar frisbee. Vou levar um, tá?","Oh, great idea! There's a really good spot for us to play frisbee. I'll bring one, okay?",
cap1_conversa_ana/say_141,"Certo, vai ser divertido.","Sure, it'll be fun.",
cap1_conversa_ana/set_var_2,ideal para jogar frisbee,perfect for playing frisbee,
cap1_conversa_ana/say_142,"Depois de caminharem um pouco, os dois ficam satisfeitos com o passeio.","After walking for a while, they are pleased with the time they spent together.",
cap1_conversa_ana/say_143,"Obrigada por ter vindo comigo, Daniel. A gente devia passear mais vezes.","Thank you for coming, Daniel. We should do this more often.",
cap1_conversa_ana/say_144,Vamos sim!,"Yes, we should!",
cap1_conversa_ana/say_145,"Depois de todos os imprevistos, o casal finalmente consegue chegar ao cinema.","After all the unexpected events, the couple finally makes it to the movies.",
cap1_conversa_ana/say_146,"Aeeee, chegamos! Eu aposto que esse filme vai ser incrível!","Yessss, we made it! I bet this movie will be amazing!",
cap1_conversa_ana/say_147,"Você tá mesmo empolgada, hein?","You're really excited about it, huh?",
cap1_conversa_ana/say_148,Claro! Esse cara é o meu ídolo! Ele levou o time dele até a final praticamente sozinho!,Of course! The guy is my idol! He singlehandedly carried his team to the finals!,
cap1_conversa_ana/say_149,Os dois assistem ao filme e se divertem bastante. Depois do filme...,They watch the movie and have a lot of fun. After the movie...,
cap1_conversa_ana/say_150,"Valeu por ter vindo ao cinema comigo, Daniel.","Thanks for coming to the movies with me, Daniel.",
cap1_conversa_ana/say_151,"De nada, eu adorei. Não sabia que a história do Hopper era tão interessante.","You're welcome, I loved it. I had no idea Hopper's story was so interesting.",
cap1_conversa_ana/say_152,"Ele é incrível, não é? Ele é tão corajoso que me inspira a ser melhor todos os dias.","He's amazing, isn't he? He's so brave, he inspires me to do better every day.",
cap1_conversa_ana/say_153,"Você fala como se eu não tivesse visto a quantidade de pôsteres dele que você tem no seu quarto, haha.","You're talking as if I haven't seen all those posters of him you have in your room, haha.",
cap1_conversa_ana/say_154,"É, você me pegou!","Yeah, you got me!",
cap1_conversa_ana/say_155,Eu queria ser tão corajosa quanto ele.,I wish I were as brave as him.,
cap1_conversa_ana/say_156,"Você já é, Ana. Tem que ter muita coragem pra perseguir o seu sonho com tanto afinco quanto você faz.","You are, Anna. It takes a lot of courage to follow your dreams with as much conviction as you do.",
cap1_conversa_ana/say_157,Eu só faço o melhor que posso.,I just do the best I can.,
cap1_conversa_ana/say_158,"A garota dá um largo sorriso, visivelmente satisfeita com o elogio.","The girl flashes a wide smile, visibly pleased with the compliment.",
cap1_conversa_ana/say_159,"Eu é que deveria me inspirar na história dele. Eu sou um covarde, que precisa de você me defendendo toda hora...","If anything, I'm the one who needs to take inspiration from his story. I'm a coward always in need of your protection...",
cap1_conversa_ana/say_160,"Daniel se vira para o lado, evitando contato visual com Ana.","Daniel turns away, avoiding eye contact with Anna.",
cap1_conversa_ana/say_161,"Não, não é verdade!","No, that's not true!",
cap1_conversa_ana/say_162,"Claro que é, Ana...","Sure is, Anna...",
cap1_conversa_ana/say_163,"Não é não! Você é muito corajoso, Daniel. Você fez uma das coisas mais corajosas que eu já vi na vida.","No, it's not! You're very brave, Daniel. You did one of the bravest things I've ever seen in my life.",
cap1_conversa_ana/say_164,Daniel se vira para Ana.,Daniel turns back to Anna.,
cap1_conversa_ana/say_165,Do que você tá falando?,What are you talking about?,
cap1_conversa_ana/say_166,"Você lembra que a gente costumava passear com o Panqueca pelo parque, né?","You remember when we used to take Pancake for walks in the park, right?",
cap1_conversa_ana/say_167,"Lembro, claro. Ele adorava perseguir os esquilos, né? Eu tinha muita pena dos esquilinhos, sempre tinham que fugir dele.","Of course I remember. He loved chasing squirrels, right? I used to feel really bad for the little guys.",
cap1_conversa_ana/say_168,Ele era um cachorro tão animado e brincalhão!,He was such a lively and playful dog!,
cap1_conversa_ana/say_169,"Sim, o Panqueca era o cãozinho mais lindo e animado que eu já vi na vida. E o mais querido...","Yeah, Pancake was the most beautiful and lively dog I've ever met. And the sweetest too...",
cap1_conversa_ana/say_170,Uma lágrima surge nos olhos de Ana.,Anna tears up a little.,
cap1_conversa_ana/say_171,"Eu não sei dizer bem o dia, mas foi uns sete ou oito anos atrás. A gente era apenas criança.","I don't remember exactly when it happened, but it was about seven or eight years ago. We were just kids.",
cap1_conversa_ana/say_172,"Nessa época o Panqueca já era imenso, né? Tinha quase metade do nosso tamanho.","Pancake was already huge by then, wasn't he? He was almost half our size.",
cap1_conversa_ana/say_173,"Sim. Era até meio difícil levá-lo na coleira, mas eu adorava passear com ele.","Yeah. It was kind of hard dragging him around on the leash, but I loved taking him for walks.",
cap1_conversa_ana/say_174,"Mas teve uma vez que ele me assustou e se soltou da coleira, perseguindo um esquilo até dentro da mata fechada.","But one time he startled me so much I dropped the leash, and he started chasing a squirrel into the thick woods.",
cap1_conversa_ana/say_175,Eu me lembro...,I remember...,
cap1_conversa_ana/say_176,Era um dia que tava chovendo?,Was it raining that day?,
cap1_conversa_ana/say_177,Sim. Eu fiquei desesperada e nós fomos procurá-lo.,Yeah. I was desperate and we went looking for him.,
cap1_conversa_ana/say_178,"A gente gritava pelo nome dele, gritava e gritava mas nada de encontrá-lo.","We called his name over and over again, but couldn't find him.",
cap1_conversa_ana/say_179,"A chuva começou a engrossar e ele morria de medo de trovão. Eu fiquei tão preocupada que ele estivesse perdido dentro da mata, assustado, sem saber como voltar pra gente.","It started pouring down hard, and poor Pancake was terrified of thunder. I was so worried that he would never find his way back to us, lost in the woods and scared out of his wits.",
cap1_conversa_ana/say_180,"E a gente se dividiu pra procurá-lo, não foi?","And we split up to go looking for him, right?",
cap1_conversa_ana/say_181,"Sim, você disse que a gente poderia encontrá-lo mais rápido assim. E depois saiu, gritando pelo nome dele na direção contrária à minha.","Yeah, you said we could find him quicker that way. And then off you went, calling out his name, walking away from me.",
cap1_conversa_ana/say_182,Eu tava com o coração na mão. Nunca me perdoaria se algo acontecesse a ele.,My heart was in my throat. I would've never forgiven myself if anything had happened to him.,
cap1_conversa_ana/say_183,Mas aí você se pôs em risco!,But then you risked your life!,
cap1_conversa_ana/say_184,"Depois de alguns minutos, você não voltou e eu fui te procurar. Eu ouvi a sua voz gritando o meu nome, desesperado.","I went looking for you once you didn't come back after a few minutes. I heard your voice calling my name, all panicked.",
cap1_conversa_ana/say_185,É...,Yeah...,
cap1_conversa_ana/say_186,"Eu fui correndo atrás de você e te encontrei no meio de um lago com correnteza, abraçando o Panqueca e se segurando a um pedregulho.","I ran after you and found you in the middle of the lake, holding on to a stone with Pancake in your arm.",
cap1_conversa_ana/say_187,"Sim. Quando eu o encontrei, ele estava do outro lado do lago. Caiu um trovão e ele se assustou, caindo na água.","Yeah. When I found him, he was on the other side of the lake. There was a thunderclap, so he freaked out and fell into the water.",
cap1_conversa_ana/say_188,"Quando eu vi a correnteza o levando, eu não pensei duas vezes antes de pular atrás dele.","When I saw the current dragging him away I didn't think twice, I just jumped right in after him.",
cap1_conversa_ana/say_189,"O que você fez foi muito arriscado e irresponsável! Você podia ter morrido, idiota!","What you did was very risky and irresponsible! You could have died, you idiot!",
cap1_conversa_ana/say_190,...Mas também foi de uma coragem inacreditável. Você foi um herói naquele dia.,...But it was also unbelievably brave. You were a true hero that day.,
cap1_conversa_ana/say_191,"Mas foi você quem nos tirou do meio do lago, com aquele galho.","But you were the one who got us out of the lake, with that branch.",
cap1_conversa_ana/say_192,"Se você não tivesse resgatado o Panqueca, a história teria sido muito diferente.","If you hadn't rescued Pancake, it would have been a very different story.",
cap1_conversa_ana/say_193,"Você salvou a vida dele, Daniel. Você é muito corajoso para as coisas que realmente importam.","You saved his life, Daniel. When it comes to the important things, you're really brave.",
cap1_conversa_ana/say_194,Daniel abre um sorriso modesto.,Daniel smiles sheepishly.,
cap1_conversa_ana/say_195,Eu tenho certeza que você teria feito a mesma coisa.,I'm sure you would have done the same thing.,
cap1_conversa_ana/say_196,"Que nada. Até hoje eu tento ser tão corajosa quanto o James Hopper, ou quanto você foi naquele dia.","No way. To this day, I try to be as brave as James Hopper, or as you were that day.",
cap1_conversa_ana/say_197,"Daniel sorri, encabulado.",Daniel smiles shyly.,
cap1_conversa_ana/say_198,"Obrigada por me inspirar a ser melhor, Daniel.","Thank you for inspiring me to be better, Daniel.",
cap1_conversa_ana/say_199,Os dois assistem ao filme e se divertem bastante.,They watch the movie together and have a lot of fun.,
cap1_conversa_ana/say_200,Daniel...,Daniel...,
cap1_conversa_ana/say_201,No meu sonho... acho que falei algumas coisas que eu não queria que você soubesse.,In my dream... I think I said some things that I didn't want you to know.,
cap1_conversa_ana/say_202,Mas eu quero te dizer agora.,But I want to say them now.,
cap1_conversa_ana/say_203,"Pode falar, Ana. O que foi?","Go ahead, Anna. What is it?",
cap1_conversa_ana/say_204,Eu.. realmente me sinto daquela maneira às vezes. Insegura.,I... really feel that way sometimes. Insecure.,
cap1_conversa_ana/say_205,"Eu sempre gostei de você, desde pequena. Mas nunca senti que poderíamos ficar juntos.","I've always liked you, ever since we were kids. But I never felt like we could be together.",
cap1_conversa_ana/say_206,Eu nunca me achei bonita ou feminina e você sempre gostou da Clara. Por isso eu só conseguia sentir raiva dela.,"I never thought of myself as pretty, or feminine, and you've always had your eyes on Claire. That's why I was always angry with her.",
cap1_conversa_ana/say_207,Eu imagino. Me desculpa por isso.,I see. I'm sorry.,
cap1_conversa_ana/say_208,"Eu sinto muito por não ter percebido os seus sentimentos, mas agora eu entendo como você pensa.",I'm sorry I didn't notice how you felt. But now I understand.,
cap1_conversa_ana/say_209,"Mas você tá errada. Eu sempre te achei linda, corajosa e radiante. E você sempre me inspirou a ser melhor.","You're wrong, though. I've always found you pretty, brave, and radiant. And you've always inspired me to be better.",
cap1_conversa_ana/say_210,Não é por que você joga basquete ou qualquer outro motivo bobo que você seja menos feminina.,"Just because you play basketball, or any other silly reasons, it doesn't make you any less feminine.",
cap1_conversa_ana/say_211,Os olhos de Ana se enchem de lágrimas.,Anna's eyes brim with tears.,
cap1_conversa_ana/say_212,"Você tá me fazendo chorar, seu idiota...","You're making me cry, you jerk...",
cap1_conversa_ana/say_213,Você é a pessoa que eu mais admiro e hoje eu consigo perceber que eu te amo. Eu sempre te amei.,"You're the person I most admire, and this made me realize that I love you. That I have always loved you.",
cap1_conversa_ana/say_214,Eu esperei tanto tempo pra ouvir você dizer isso...,I've waited so long to hear you say that...,
cap1_conversa_ana/say_215,Eu também te amo!,I love you too!,
cap1_conversa_ana/say_216,A garota pula nos braços de Daniel.,The girl throws herself into Daniel's arms.,
cap1_conversa_ana/say_217,Os corações de Daniel e Ana se abriram!,Daniel and Anna's hearts have open!,
cap1_conversa_beatrice/char_name_0,???,???,
cap1_conversa_beatrice/char_name_1,Capacete,Helmet,
cap1_conversa_beatrice/say_0,Na biblioteca...,In the library...,
cap1_conversa_beatrice/say_1,Daniel passeia tranquilamente pelas estantes da biblioteca.,Daniel slowly wanders between the library's bookshelves.,
cap1_conversa_beatrice/say_2,(Finalmente consegui devolver os livros que peguei emprestado da última vez.),(I've finally managed to return the books I borrowed last time.),
cap1_conversa_beatrice/say_3,(Acho que vou alugar só um agora.),(I think this time I'll borrow just one.),
cap1_conversa_beatrice/say_4,Esse parece interessante...Ou talvez esse aqui!,This one seems interesting... Or perhaps this one!,
cap1_conversa_beatrice/say_5,Acho que vou alugar os dois...,I think I'll borrow both of them...,
cap1_conversa_beatrice/say_6,"Alguns minutos depois, Daniel se arrasta vagarosamente para a saída da biblioteca, os braços entulhados com dezenas de livros.","A few minutes later, Daniel drags himself towards the library exit, his arms weighed down with dozens of books.",
cap1_conversa_beatrice/say_7,E-eu sempre...acabo...fazendo isso...,I-I always... end up... doing this...,
cap1_conversa_beatrice/say_8,Olá.,Hi.,
cap1_conversa_beatrice/say_9,AH!,AH!,
cap1_conversa_beatrice/say_10,"O garoto toma um susto, derrubando os livros.",The boy is startled and drops his books.,
cap1_conversa_beatrice/say_11,Fascinante. Exatamente como eu esperava.,Fascinating. Just what I expected.,
cap1_conversa_beatrice/say_12,"A menina fica exageradamente perto de Daniel, analisando detalhes com uma lupa.","The girl leans uncomfortably close to Daniel, analyzing him with a magnifying glass.",
cap1_conversa_beatrice/say_13,"Ombros caídos, queixo fino-","Hunched posture, thin jaw—",
cap1_conversa_beatrice/say_14,Ela passa os dedos no cabelo do rapaz.,She combs her fingers through the boy's hair.,
cap1_conversa_beatrice/say_15,O que você tá fazendo?,What are you doing?,
cap1_conversa_beatrice/say_16,Oleoso. Nada que não possa ser resolvido.,"Greasy. Eh, nothing that can't be fixed.",
cap1_conversa_beatrice/say_17,"A garota puxa um bloquinho de notas e faz anotações. Ela ergue os olhos para Daniel, encarando-o por cima dos óculos grossos.","The girl pulls out a notebook and jots down some notes. She then looks up at Daniel, staring at him over thick glasses.",
cap1_conversa_beatrice/say_18,"Parabéns, você é um espécime perfeito.","Congratulations, you're a perfect specimen.",
cap1_conversa_beatrice/say_19,Espécime?,Specimen?,
cap1_conversa_beatrice/say_20,A menina ajeita os óculos.,The girl adjusts her glasses.,
cap1_conversa_beatrice/say_21,Hmmmm... Parece que pulei algumas instruções de novo.,Hmmm... I feel like I skipped a few steps again.,
cap1_conversa_beatrice/say_22,"Ela confere o bloquinho de notas, lendo uma lista.","She checks her notepad, reading from a list.",
cap1_conversa_beatrice/say_23,\qPasso 1: Se apresentar para a cobaia.\q\n\qPasso 2: Explicar o experimento.\q,\qStep 1: Introduce yourself to the guinea pig.\q\n\qStep 2: Explain the experiment.\q,
cap1_conversa_beatrice/say_24,"Saudações, Daniel. Sou Beatrice.","Greetings, Daniel. I'm Beatrice.",
cap1_conversa_beatrice/say_25,Como você sabe meu nome?,How do you know my name?,
cap1_conversa_beatrice/say_26,"A garota dá um leve sorriso, ajeitando os óculos novamente.","The girl gives a wry smile, adjusting her glasses again.",
cap1_conversa_beatrice/say_27,Eu estive te observando. Estou no caminho de revolucionar o estudo dos relacionamentos humanos!,I've been watching you. I'm on the path to revolutionize the study of human relationships!,
cap1_conversa_beatrice/say_28,"Daniel franze a sobrancelha, curioso.",Daniel creases his brows with curiosity.,
cap1_conversa_beatrice/say_29,"Como voluntário neste experimento, você irá abrir mão do seu bem-estar físico e mental.","As a volunteer in this experiment, you will have to forfeit your physical and mental well-beings.",
cap1_conversa_beatrice/say_30,"É perigoso, mas é um sacrifício que estou disposta a fazer. Portanto-","It'll be dangerous, but it's a sacrifice I'm willing to make. So—",
cap1_conversa_beatrice/say_31,"Ei, peraí! Eu não quero participar disso!","Hey, wait! I never said I want to take part in it!",
cap1_conversa_beatrice/say_32,"Ah, sim. Perfeitamente. Nem todos tem a mesma paixão pelo conhecimento que eu tenho.","Ah, yes. But of course. Not everyone is as passionate about the pursuit of knowledge as I am.",
cap1_conversa_beatrice/say_33,É uma pena. Meu conhecimento poderia ser muito útil caso você tivesse interesse em se relacionar com alguém...,That's too bad. My knowledge could be very useful if you were interested in... dating someone...,
cap1_conversa_beatrice/say_34,Espera!,Wait!,
cap1_conversa_beatrice/say_35,Tudo bem... Eu aceito.,Alright... I'll do it.,
cap1_conversa_beatrice/say_36,Excelente! Faremos uma bateria de testes e experimentos variados.,Excellent! We'll do a series of tests and various experiments.,
cap1_conversa_beatrice/say_37,Me encontre mais tarde aqui na biblioteca e poderemos começar.,"Meet me later on, here in the library, so we can get started.",
cap1_conversa_beatrice/say_38,Me encontre amanhã aqui na biblioteca e poderemos começar.,"Meet me tomorrow, here in the library, so we can get started.",
cap1_conversa_beatrice/say_39,"Beatrice vai embora, visivelmente empolgada.","Beatrice leaves, visibly excited.",
cap1_conversa_beatrice/say_40,"Chegando na biblioteca, Daniel encontra Beatrice lendo.","When he arrives at the library, Daniel finds Beatrice reading.",
cap1_conversa_beatrice/say_41,"Obrigada por vir, Daniel!","Thank you for coming, Daniel!",
cap1_conversa_beatrice/say_42,Faremos uma série de análises biológicas para determinar sua aptidão para relacionamentos.,We're going to run a series of biological analysis to determine your aptitude for relationships.,
cap1_conversa_beatrice/say_43,Daniel encara a menina com curiosidade.,"Daniel looks at the girl, intrigued.",
cap1_conversa_beatrice/say_44,"Tá, mas... porque eu? Eu sou só um cara normal.","Okay, but... why me? I'm just a regular guy.",
cap1_conversa_beatrice/say_45,"Precisamente. Por ser um espécime completamente mediano, você é o candidato ideal.","Precisely. As you're a completely average specimen, you're the ideal candidate.",
cap1_conversa_beatrice/say_46,(Eu não sei se isso foi um elogio...),(I'm not sure that was a compliment...),
cap1_conversa_beatrice/say_47,Hmmm... Então você quer aprender sobre relacionamentos estudando biologia?,"Hmmm... So, you want to learn about relationships by studying biology?",
cap1_conversa_beatrice/say_48,Exatamente. Qualquer sentimento pode ser explicado por processos biológicos!,Exactly. All feelings can be explained by biological processes!,
cap1_conversa_beatrice/say_49,Fêmeas se orientam por marcadores de aparência e status para medir a compatibilidade de um parceiro. Humanos não são diferentes.,Females determine the compatibility of a partner based on appearance and social status. Humans are no different.,
cap1_conversa_beatrice/say_50,Por exemplo...,For example...,
cap1_conversa_beatrice/say_51,"Ei, o que você-","Hey, what are you—",
cap1_conversa_beatrice/say_52,"... Perfeito. De acordo com meus cálculos, este par de óculos deve deixá-lo 20% mais atraente para o sexo oposto.","...Perfect. According to my calculations, this pair of glasses should make you 20% more attractive to the opposite sex.",
cap1_conversa_beatrice/say_53,Isso não combina com o meu estilo!,They don't suit my style!,
cap1_conversa_beatrice/say_54,Hmmm... Podemos testar outras opções.,Hmmm... We can try other options.,
cap1_conversa_beatrice/say_55,Beatrice e Daniel passam o tempo testando (e descartando) acessórios.,Beatrice and Daniel spend some time trying on (and discarding) accessories.,
cap1_conversa_beatrice/say_56,"Antes de começarmos, uma pergunta: Qual é a matéria-prima mais preciosa para o ser humano?","Before we begin, I have a question: what material is the most precious to humans?",
cap1_conversa_beatrice/say_57,"Hmmm... Não sei, diamantes?","Hmmm... I don't know, diamonds?",
cap1_conversa_beatrice/say_58,Informação. Coleta de dados é um dos primeiros passos em qualquer pesquisa científica.,Information. Data collection is one of the first steps in any scientific study.,
cap1_conversa_beatrice/say_59,"Se você quer conquistar uma moça, há muitas coisas que você precisa descobrir sobre ela.","If you want to win a girl over, there are many things you should learn about her first.",
cap1_conversa_beatrice/say_60,"O lápis nas mãos de Beatrice desliza, praticamente queimando o papel. A garota está finalizando alterações de última hora em uma extensa lista de itens.","The pencil in Beatrice's hand is scribbling away, practically setting fire to the paper. The girl makes some last-minute changes to a lengthy list.",
cap1_conversa_beatrice/say_61,"Com um movimento rápido, ela entrega o papel para Daniel.",She hurriedly hands the paper to Daniel.,
cap1_conversa_beatrice/say_62,Dê uma olhada.,Take a look.,
cap1_conversa_beatrice/say_63,"O garoto lê, passando o olho rapidamente pela lista.",The boy quickly scans the list.,
cap1_conversa_beatrice/say_64,"Nome, idade, altura, matéria favorita...","Name, age, height, favorite subject...",
cap1_conversa_beatrice/say_65,"Hobbies, programas de TV, cor favorita, tamanho do sut- ","Hobbies, TV shows, favorite color, cup size-",
cap1_conversa_beatrice/say_66,Sua expressão migra de ligeira curiosidade para total vergonha. Daniel devolve a lista para Beatrice apressadamente.,His expression changes from that of mild curiosity to a grimace of total embarrassment. Daniel hastily hands the list back to Beatrice.,
cap1_conversa_beatrice/say_67,N-não acho que um homem precise saber tudo isso.,I-I don't think a guy really needs to know all that.,
cap1_conversa_beatrice/say_68,"Conhecimento é poder. Com dados, pode-se desenvolver uma estratégia.","Knowledge is power. With data, you can devise a strategy.",
cap1_conversa_beatrice/say_69,Você está sugerindo que eu fique escondido observando pessoas por aí?,Are you suggesting that I should stalk girls?,I had 'stalking' in mind when I wrote this line
cap1_conversa_beatrice/say_70,Sim. Eu faço isso o tempo todo! Você pode descobrir muitas coisas interessantes.,Yes. I stalk people all the time! You can learn all kinds of interesting things.,
cap1_conversa_beatrice/say_71,Hmmmm... Então você não veria nenhum problema se eu descobrisse todas essas coisas da lista sobre você?,"Hmmmm... So, you wouldn't have a problem if I were to \qresearch\q all of these things about you?",
cap1_conversa_beatrice/say_72,"Se for para o bem da ciência, não vejo problema algum.","If it's for science, I don't see a problem.",
cap1_conversa_beatrice/say_73,Então qual o seu elemento químico favorito?,"So, what's your favorite chemical element?",
cap1_conversa_beatrice/say_74,"N-não, isso é íntimo demais.","N-no, that is too personal.",
cap1_conversa_beatrice/say_75,"...Oh. Você está aqui. Excelente, podemos começar o experimento.","...Ah. You're here. Excellent, we can begin the experiment.",
cap1_conversa_beatrice/say_76,Experimento?,Experiment?,
cap1_conversa_beatrice/say_77,"Beatrice retira um pequeno frasco de vidro do bolso, contendo um líquido rosa-claro. O \qexperimento\q cintila à luz, enquanto os olhos de Daniel expressam um certo receio.",Beatrice reaches into her pocket and pulls out a small jar filled with a pale pink fluid. The \qexperiment\q glistens in the light. Daniel's eyes show some concern.,
cap1_conversa_beatrice/say_78,Contemple!,Behold!,
cap1_conversa_beatrice/say_79,"Beatrice desenrosca a tampa e um vapor brilhante escapa do frasco, subindo lentamente.","Beatrice unscrews the lid and a sparkling gas escapes the jar, rising slowly.",
cap1_conversa_beatrice/say_80,Daniel dá um passo pra trás.,Daniel takes a step back.,
cap1_conversa_beatrice/say_81,"Eu não vou beber nada não, hein...",No way I'm drinking that stuff...,
cap1_conversa_beatrice/say_82, Não se preocupe. Não é para beber.,Relax. It's not for drinking.,
cap1_conversa_beatrice/say_83,...Não é?,...It's not?,
cap1_conversa_beatrice/say_84,É para a pele. Aplique uma pequena quantidade na epiderme.,It's for the skin. Apply a small amount to the epidermis.,
cap1_conversa_beatrice/say_85,...Tipo um perfume?,...Like a perfume?,
cap1_conversa_beatrice/say_86,...É. Um \qperfume\q.,"...Yeah, a \qperfume\q.",
cap1_conversa_beatrice/say_87,"Daniel, desconfiado, coloca um pouco do líquido no pescoço, espalhando como uma colônia. O garoto cheira o frasco. O líquido é completamente inodoro.","Daniel, feeling suspicious, puts a tiny amount of the liquid on his neck, spreading it around like cologne. He then sniffs the jar. The liquid turns out to be completely odorless.",
cap1_conversa_beatrice/say_88,Mas o que exatamente isso faz?,"What does it do, exactly?",
cap1_conversa_beatrice/say_89,"Beatrice aponta para o frasco, orgulhosa.",Beatrice proudly points at the jar.,
